Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare-at Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text
charm-morellato-drops-scz161w,CHARM MORELLATO DROPS - SCZ161W,,brand-1,Charm,,TRUE,,,,,,,,,shopify,,deny,manual,11.70,,TRUE,TRUE,,https://cdn.morellato.com/i/small/32818/charm-morellato-drops-scz161w_v1n1f5.jpg,CHARM MORELLATO DROPS - SCZ161W
charm-morellato-drops-scz162w,CHARM MORELLATO DROPS - SCZ162W,,brand-1,Charm,,TRUE,,,,,,,,,shopify,,deny,manual,"9.1013,00",,TRUE,TRUE,,https://cdn.morellato.com/i/small/32819/charm-morellato-drops-scz162w_v1n158.jpg,CHARM MORELLATO DROPS - SCZ162W
charm-morellato-drops-scz163w,CHARM MORELLATO DROPS - SCZ163W,,brand-1,Charm,,TRUE,,,,,,,,,shopify,,deny,manual,11.70,,TRUE,TRUE,,https://cdn.morellato.com/i/small/32820/charm-morellato-drops-scz163w_v1n1e5.jpg,CHARM MORELLATO DROPS - SCZ163W
